Name,Volts,Product,FE,CIF
Zn-BTC,2.2,CH4 CO,80.1,http://qiserver.ugr.es/cod/2006090.cif
ZIF-8,1.8,CO,65,http://qiserver.ugr.es/cod/4118891.cif
Re-SURMOF,1.6,CO,93,http://qiserver.ugr.es/cod/1557774.cif
Fe-MOF-525,1.07,CO,41,https://doggo.ninja/cDpoAS.cif
Ni-containing cyclic porphyrin dimer,0.8,CO,94,http://qiserver.ugr.es/cod/2004280.cif
Tris(2-benzimidazolyl-methyl)amine (NTB) ligand,0.8,CO,97,https://doggo.ninja/kUqH3f.cif
Al2(OH)2TCPP-Co,0.7,CO,76,https://doggo.ninja/N1j9t6.cif
M-PMOF,0.8,CO,98.7,https://doggo.ninja/voIIwB.cif
 Iron Pyridyl-Carbene,1.59,CO,92,http://qiserver.ugr.es/cod/4518363.cif
CoPP@CNT,0.49,CO,98.3,http://qiserver.ugr.es/cod/7124236.cif